Entidad federativa,Grupos quinquenales de edad,2010 Total,2010 Hombres,2010 Mujeres,2011 Total,2011 Hombres,2011 Mujeres,2012 Total,2012 Hombres,2012 Mujeres,2013 Total,2013 Hombres,2013 Mujeres,2014 Total,2014 Hombres,2014 Mujeres,2015 Total,2015 Hombres,2015 Mujeres,2016 Total,2016 Hombres,2016 Mujeres,2017 Total,2017 Hombres,2017 Mujeres
México,No especificado,1,1,0,3,2,1,0,0,0,4,3,1,1,1,0,1,1,0,3,2,1,0,0,0
Michoacán de Ocampo,Total,151,123,28,150,119,31,147,119,28,142,120,22,192,148,44,169,138,31,182,149,33,206,162,44
Michoacán de Ocampo,10 a 14 años,4,1,3,9,5,4,8,7,1,4,3,1,6,5,1,3,1,2,16,7,9,7,4,3
Michoacán de Ocampo,15 a 19 años,14,7,7,25,17,8,27,21,6,20,16,4,28,16,12,24,15,9,25,18,7,22,17,5
Michoacán de Ocampo,20 a 24 años,25,21,4,19,14,5,20,14,6,23,19,4,32,26,6,20,15,5,26,21,5,31,27,4
Michoacán de Ocampo,25 a 29 años,25,20,5,15,10,5,17,14,3,19,15,4,19,14,5,26,21,5,32,29,3,28,22,6
Michoacán de Ocampo,30 a 34 años,20,19,1,23,19,4,15,13,2,12,9,3,17,15,2,19,17,2,16,16,0,23,19,4
Michoacán de Ocampo,35 a 39 años,17,15,2,16,12,4,16,15,1,18,16,2,22,17,5,17,15,2,19,17,2,28,23,5
Michoacán de Ocampo,40 a 44 años,6,4,2,12,12,0,11,10,1,14,12,2,13,10,3,13,12,1,12,11,1,26,21,5
Michoacán de Ocampo,45 a 49 años,8,8,0,7,7,0,6,4,2,6,5,1,16,13,3,11,10,1,9,8,1,10,8,2
Michoacán de Ocampo,50 a 54 años,7,6,1,8,8,0,10,6,4,4,4,0,12,10,2,8,7,1,6,5,1,8,5,3
Michoacán de Ocampo,55 a 59 años,9,7,2,4,4,0,5,5,0,8,8,0,7,3,4,7,5,2,5,4,1,9,5,4
Michoacán de Ocampo,60 años y más,14,13,1,11,10,1,11,9,2,14,13,1,19,18,1,20,19,1,16,13,3,13,10,3
Michoacán de Ocampo,No especificado,2,2,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0
Morelos,Total,45,32,13,61,52,9,62,50,12,65,53,12,54,41,13,44,32,9,87,70,17,71,61,10
Morelos,10 a 14 años,4,3,1,0,0,0,3,2,1,2,1,1,3,1,2,4,3,1,1,1,0,1,0,1
Morelos,15 a 19 años,8,4,4,11,7,4,11,7,4,9,5,4,6,3,3,4,3,1,15,11,4,7,4,3
Morelos,20 a 24 años,5,4,1,8,7,1,12,9,3,8,7,1,13,11,2,7,5,2,18,16,2,11,10,1
Morelos,25 a 29 años,2,2,0,14,10,4,7,6,1,4,2,2,2,1,1,3,2,1,13,12,1,9,9,0
Morelos,30 a 34 años,2,1,1,3,3,0,6,5,1,7,7,0,10,8,2,5,5,0,9,5,4,6,6,0
Morelos,35 a 39 años,5,5,0,4,4,0,2,2,0,4,4,0,3,3,0,2,1,1,6,5,1,6,5,1
Morelos,40 a 44 años,4,2,2,3,3,0,6,5,1,6,5,1,5,4,1,2,2,0,8,6,2,5,5,0
Morelos,45 a 49 años,5,4,1,5,5,0,3,3,0,8,7,1,4,2,2,0,0,0,5,3,2,7,6,1
Morelos,50 a 54 años,3,1,2,1,1,0,3,2,1,4,3,1,0,0,0,3,2,1,5,4,1,9,8,1
Morelos,55 a 59 años,0,0,0,3,3,0,1,1,0,6,6,0,4,4,0,2,1,1,0,0,0,4,3,1
Morelos,60 años y más,7,6,1,8,8,0,8,8,0,7,6,1,4,4,0,5,5,0,7,7,0,6,5,1
Morelos,No especificado,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,3,1,0,0,0,0,0,0
Nayarit,Total,46,39,7,46,40,6,50,44,6,54,45,9,81,63,18,75,62,13,79,69,10,72,55,17
Nayarit,10 a 14 años,1,1,0,0,0,0,1,0,1,0,0,0,4,1,3,2,1,1,0,0,0,2,1,1
Nayarit,15 a 19 años,2,2,0,7,7,0,11,8,3,6,3,3,8,4,4,12,8,4,3,2,1,7,6,1
Nayarit,20 a 24 años,11,8,3,6,6,0,5,3,2,13,10,3,12,11,1,12,10,2,10,8,2,16,13,3
Nayarit,25 a 29 años,11,8,3,4,2,2,6,6,0,3,3,0,9,7,2,12,9,3,11,10,1,5,4,1
Nayarit,30 a 34 años,4,4,0,6,4,2,6,6,0,7,7,0,7,4,3,10,8,2,11,9,2,8,6,2
Nayarit,35 a 39 años,4,4,0,5,5,0,5,5,0,4,4,0,7,5,2,7,6,1,6,5,1,5,2,3
Nayarit,40 a 44 años,4,4,0,6,5,1,1,1,0,4,3,1,9,8,1,6,6,0,7,6,1,8,8,0
Nayarit,45 a 49 años,0,0,0,2,2,0,4,4,0,6,6,0,3,3,0,5,5,0,8,7,1,5,2,3
Nayarit,50 a 54 años,1,1,0,2,2,0,5,5,0,0,0,0,5,4,1,2,2,0,8,7,1,2,2,0
Nayarit,55 a 59 años,1,1,0,1,1,0,1,1,0,1,0,1,5,4,1,1,1,0,2,2,0,6,4,2
Nayarit,60 años y más,7,6,1,7,6,1,5,5,0,10,9,1,12,12,0,6,6,0,11,11,0,8,7,1
Nayarit,No especificado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Nuevo León,Total,238,205,33,218,174,44,229,180,49,245,215,30,220,191,29,253,203,50,292,238,54,270,233,37
Nuevo León,10 a 14 años,4,2,2,8,3,5,8,2,6,3,2,1,4,3,1,8,2,6,6,3,3,3,2,1
Nuevo León,15 a 19 años,29,20,9,13,9,4,26,18,8,29,26,3,20,16,4,29,20,9,41,32,9,30,27,3
Nuevo León,20 a 24 años,46,40,6,31,24,7,26,18,8,34,31,3,48,43,5,34,28,6,57,47,10,46,41,5
Nuevo León,25 a 29 años,33,31,2,29,22,7,28,23,5,27,25,2,20,16,4,34,28,6,31,26,5,42,29,13
Nuevo León,30 a 34 años,20,16,4,31,27,4,30,27,3,26,21,5,16,13,3,29,22,7,23,19,4,30,30,0
Nuevo León,35 a 39 años,25,21,4,20,18,2,19,14,5,27,23,4,21,17,4,36,35,1,23,20,3,20,18,2
Nuevo León,40 a 44 años,18,16,2,20,15,5,17,12,5,29,24,5,16,13,3,17,15,2,20,16,4,17,16,1
Nuevo León,45 a 49 años,14,10,4,17,14,3,18,16,2,16,14,2,17,17,0,15,14,1,25,21,4,15,15,0
Nuevo León,50 a 54 años,9,9,0,9,7,2,11,10,1,17,16,1,22,18,4,8,7,1,15,12,3,19,18,1
Nuevo León,55 a 59 años,8,8,0,15,11,4,8,6,2,8,8,0,10,9,1,15,8,7,19,15,4,13,10,3
Nuevo León,60 años y más,30,30,0,22,21,1,32,28,4,27,24,3,25,25,0,27,23,4,32,27,5,34,26,8
Nuevo León,No especificado,2,2,0,3,3,0,6,6,0,2,1,1,1,1,0,1,1,0,0,0,0,1,1,0
Oaxaca,Total,131,101,30,142,115,27,124,106,18,121,103,18,132,117,15,156,125,30,114,89,25,129,112,17
Oaxaca,10 a 14 años,8,4,4,8,6,2,7,4,3,7,6,1,6,5,1,8,6,2,7,2,5,3,1,2
Oaxaca,15 a 19 años,25,13,12,16,11,5,23,16,7,21,15,6,17,13,4,16,11,5,15,12,3,14,11,3
Oaxaca,20 a 24 años,21,15,6,21,19,2,13,11,2,14,13,1,20,17,3,31,22,9,21,19,2,21,19,2
Oaxaca,25 a 29 años,17,16,1,19,12,7,13,10,3,12,10,2,10,9,1,20,17,3,15,11,4,16,13,3
Oaxaca,30 a 34 años,19,17,2,15,13,2,9,9,0,18,16,2,15,14,1,15,11,4,16,13,3,17,17,0
Oaxaca,35 a 39 años,4,2,2,12,10,2,16,14,2,7,5,2,16,15,1,12,10,2,8,8,0,15,12,3
Oaxaca,40 a 44 años,11,10,1,9,6,3,8,8,0,6,6,0,14,13,1,8,6,2,10,9,1,5,5,0
Oaxaca,45 a 49 años,6,5,1,13,11,2,10,9,1,6,5,1,7,6,1,11,10,1,6,2,4,11,10,1
Oaxaca,50 a 54 años,7,6,1,0,0,0,4,4,0,9,8,1,5,4,1,10,10,0,3,2,1,6,5,1
Oaxaca,55 a 59 años,4,4,0,9,8,1,5,5,0,5,5,0,9,8,1,6,5,1,5,5,0,7,6,1
Oaxaca,60 años y más,9,9,0,20,19,1,16,16,0,16,14,2,13,13,0,16,16,0,8,6,2,14,13,1
Oaxaca,No especificado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0
Puebla,Total,205,157,48,256,196,60,216,171,45,240,190,50,277,209,68,268,194,74,226,174,52,302,228,74
Puebla,10 a 14 años,12,7,5,15,6,9,13,10,3,12,7,5,17,10,7,12,6,6,12,8,4,25,12,13
Puebla,15 a 19 años,42,28,14,54,40,14,39,27,12,30,18,12,40,26,14,46,28,18,50,35,15,53,34,19
Puebla,20 a 24 años,24,19,5,45,33,12,36,24,12,35,31,4,42,32,10,58,40,18,35,26,9,53,39,14
Puebla,25 a 29 años,28,22,6,43,32,11,28,27,1,25,18,7,27,19,8,38,30,8,24,18,6,40,31,9
Puebla,30 a 34 años,10,8,2,16,14,2,25,21,4,19,16,3,33,26,7,20,14,6,23,19,4,29,25,4
Puebla,35 a 39 años,25,17,8,27,20,7,20,19,1,24,20,4,29,26,3,24,20,4,20,14,6,26,22,4
Puebla,40 a 44 años,13,11,2,12,10,2,10,9,1,13,8,5,24,20,4,11,8,3,16,14,2,19,18,1
Puebla,45 a 49 años,9,7,2,13,12,1,14,10,4,15,13,2,14,8,6,26,23,3,9,7,2,12,10,2
Puebla,50 a 54 años,8,7,1,8,6,2,8,5,3,17,15,2,13,10,3,12,10,2,12,10,2,13,9,4
Puebla,55 a 59 años,7,5,2,7,7,0,6,6,0,11,11,0,15,14,1,5,4,1,3,3,0,10,10,0
Puebla,60 años y más,22,21,1,13,13,0,17,13,4,37,31,6,20,15,5,15,10,5,19,17,2,22,18,4
Puebla,No especificado,5,5,0,3,3,0,0,0,0,2,2,0,3,3,0,1,1,0,3,3,0,0,0,0
Querétaro,Total,85,74,11,98,76,22,115,91,24,112,84,28,80,59,21,110,90,20,102,77,25,137,115,22
Querétaro,10 a 14 años,3,2,1,9,3,6,4,1,3,4,1,3,6,4,2,3,2,1,5,2,3,7,6,1
Querétaro,15 a 19 años,8,8,0,17,10,7,19,12,7,21,15,6,8,6,2,14,10,4,9,6,3,20,14,6
Querétaro,20 a 24 años,22,17,5,16,13,3,22,20,2,19,14,5,10,9,1,27,24,3,16,13,3,19,15,4
Querétaro,25 a 29 años,13,11,2,14,13,1,17,14,3,14,10,4,14,7,7,14,10,4,17,16,1,13,10,3
Querétaro,30 a 34 años,10,10,0,12,10,2,12,11,1,20,16,4,8,6,2,8,6,2,15,11,4,20,20,0
Querétaro,35 a 39 años,9,7,2,5,5,0,19,15,4,8,7,1,12,12,0,9,8,1,6,3,3,20,17,3
Querétaro,40 a 44 años,7,7,0,2,2,0,7,6,1,6,4,2,1,0,1,9,6,3,5,4,1,10,7,3
Querétaro,45 a 49 años,6,6,0,8,7,1,0,0,0,2,2,0,6,5,1,6,5,1,10,7,3,6,5,1
Querétaro,50 a 54 años,4,3,1,4,2,2,4,4,0,3,2,1,2,1,1,6,6,0,6,4,2,6,6,0
Querétaro,55 a 59 años,0,0,0,1,1,0,5,3,2,4,2,2,7,5,2,1,1,0,6,5,1,5,5,0
Querétaro,60 años y más,3,3,0,10,10,0,6,5,1,11,11,0,6,4,2,12,11,1,7,6,1,11,10,1
Querétaro,No especificado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Quintana Roo,Total,132,111,21,121,100,21,144,120,24,137,115,22,118,93,25,140,110,30,125,101,24,135,116,19
Quintana Roo,10 a 14 años,0,0,0,5,4,1,2,2,0,3,1,2,2,0,2,5,2,3,5,4,1,6,2,4
Quintana Roo,15 a 19 años,14,11,3,13,11,2,11,9,2,11,8,3,11,7,4,17,12,5,9,6,3,9,8,1
Quintana Roo,20 a 24 años,19,17,2,24,17,7,27,23,4,26,22,4,21,17,4,14,12,2,24,20,4,16,15,1
Quintana Roo,25 a 29 años,14,10,4,13,12,1,21,19,2,20,15,5,11,9,2,18,11,7,12,9,3,31,25,6
Quintana Roo,30 a 34 años,17,14,3,11,8,3,13,11,2,20,19,1,14,11,3,23,19,4,18,18,0,21,18,3
Quintana Roo,35 a 39 años,21,20,1,15,13,2,25,20,5,13,10,3,11,8,3,18,14,4,14,10,4,10,8,2
Quintana Roo,40 a 44 años,12,9,3,11,10,1,12,9,3,14,12,2,14,12,2,17,13,4,13,10,3,9,7,2
Quintana Roo,45 a 49 años,16,13,3,5,5,0,11,9,2,10,9,1,7,6,1,10,10,0,8,6,2,12,12,0
Quintana Roo,50 a 54 años,8,6,2,8,8,0,5,5,0,6,6,0,9,7,2,6,6,0,8,6,2,8,8,0
Quintana Roo,55 a 59 años,1,1,0,3,2,1,11,7,4,4,3,1,6,5,1,4,4,0,6,6,0,5,5,0
Quintana Roo,60 años y más,4,4,0,10,7,3,6,6,0,8,8,0,9,8,1,8,7,1,7,5,2,7,7,0
Quintana Roo,No especificado,6,6,0,3,3,0,0,0,0,2,2,0,3,3,0,0,0,0,1,1,0,1,1,0
San Luis Potosí,Total,164,131,33,159,132,27,158,133,25,157,141,16,173,142,31,164,139,25,179,147,32,199,165,34
San Luis Potosí,10 a 14 años,8,6,2,7,4,3,10,3,7,6,5,1,11,7,4,6,5,1,10,3,7,6,3,3
San Luis Potosí,15 a 19 años,26,17,9,29,20,9,26,22,4,26,23,3,24,16,8,24,20,4,27,20,7,23,16,7
San Luis Potosí,20 a 24 años,28,23,5,30,23,7,28,23,5,20,17,3,28,23,5,30,24,6,23,19,4,31,27,4
San Luis Potosí,25 a 29 años,17,14,3,16,16,0,21,21,0,18,16,2,20,18,2,22,19,3,17,13,4,31,28,3
San Luis Potosí,30 a 34 años,16,12,4,12,10,2,16,14,2,6,5,1,16,16,0,16,13,3,23,21,2,18,15,3
San Luis Potosí,35 a 39 años,16,13,3,15,14,1,9,8,1,15,15,0,20,15,5,9,8,1,10,9,1,20,17,3
San Luis Potosí,40 a 44 años,8,7,1,9,8,1,9,9,0,16,16,0,15,12,3,6,5,1,14,12,2,17,12,5
San Luis Potosí,45 a 49 años,7,5,2,8,5,3,13,10,3,15,12,3,8,6,2,18,12,6,11,11,0,13,12,1
San Luis Potosí,50 a 54 años,10,7,3,13,13,0,2,2,0,7,7,0,7,7,0,6,6,0,11,11,0,13,13,0
San Luis Potosí,55 a 59 años,3,3,0,5,5,0,9,7,2,9,9,0,4,3,1,6,6,0,8,5,3,8,7,1
San Luis Potosí,60 años y más,24,23,1,15,14,1,14,13,1,18,15,3,20,19,1,20,20,0,25,23,2,18,15,3
San Luis Potosí,No especificado,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1
Sinaloa,Total,113,97,16,111,92,19,99,80,19,123,107,16,143,114,29,142,125,17,165,145,20,168,148,20
Sinaloa,10 a 14 años,4,2,2,3,2,1,3,2,1,3,1,2,0,0,0,4,3,1,4,3,1,3,1,2
Sinaloa,15 a 19 años,12,9,3,16,11,5,7,4,3,13,7,6,13,3,10,13,8,5,12,7,5,12,9,3
Sinaloa,20 a 24 años,19,17,2,16,14,2,14,10,4,15,13,2,14,12,2,14,12,2,13,10,3,20,18,2
Sinaloa,25 a 29 años,9,6,3,16,13,3,7,7,0,14,14,0,24,19,5,12,12,0,10,9,1,16,16,0
Sinaloa,30 a 34 años,17,12,5,10,9,1,6,4,2,12,12,0,17,14,3,14,12,2,23,21,2,20,17,3
Sinaloa,35 a 39 años,11,11,0,2,2,0,9,9,0,16,16,0,13,13,0,22,21,1,24,20,4,17,16,1
Sinaloa,40 a 44 años,5,5,0,9,7,2,14,10,4,9,8,1,19,16,3,7,5,2,18,17,1,21,18,3
Sinaloa,45 a 49 años,6,6,0,6,6,0,3,1,2,11,10,1,8,6,2,14,12,2,8,8,0,10,9,1
Sinaloa,50 a 54 años,7,7,0,3,2,1,7,7,0,5,5,0,7,5,2,12,12,0,13,13,0,10,9,1
Sinaloa,55 a 59 años,5,5,0,5,4,1,2,1,1,5,3,2,6,4,2,6,6,0,7,5,2,10,8,2
Sinaloa,60 años y más,17,16,1,24,21,3,26,24,2,20,18,2,22,22,0,24,22,2,30,29,1,29,27,2
Sinaloa,No especificado,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
Sonora,Total,170,143,27,178,156,22,184,153,31,237,206,31,236,211,25,249,217,32,218,190,27,264,232,32
Sonora,10 a 14 años,6,0,6,0,0,0,1,0,1,6,4,2,4,2,2,6,4,2,2,0,2,2,2,0
Sonora,15 a 19 años,18,12,6,26,19,7,18,12,6,17,12,5,16,14,2,22,20,2,17,8,9,18,15,3
Sonora,20 a 24 años,15,14,1,16,16,0,24,17,7,20,16,4,21,18,3,24,21,3,26,24,2,41,39,2
Sonora,25 a 29 años,18,16,2,16,14,2,21,17,4,35,32,3,28,28,0,26,24,2,22,21,1,33,30,3
Sonora,30 a 34 años,13,12,1,26,22,4,18,14,4,29,22,7,29,25,4,40,34,6,20,15,5,31,25,6
Sonora,35 a 39 años,22,18,4,22,18,4,14,12,2,20,18,2,35,27,8,33,27,6,29,29,0,27,23,4
Sonora,40 a 44 años,16,14,2,21,19,2,19,18,1,27,26,1,25,24,1,23,20,3,35,32,3,30,26,4
Sonora,45 a 49 años,13,11,2,11,10,1,12,11,1,21,20,1,19,18,1,19,18,1,14,12,2,21,17,4
Sonora,50 a 54 años,6,5,1,8,8,0,13,11,2,22,19,3,16,15,1,14,12,2,17,17,0,19,17,2
Sonora,55 a 59 años,12,10,2,9,9,0,6,6,0,10,7,3,8,5,3,11,7,4,11,10,1,13,12,1
Sonora,60 años y más,27,27,0,22,20,2,34,31,3,28,28,0,31,31,0,26,25,1,19,17,2,27,24,3
Sonora,No especificado,4,4,0,1,1,0,4,4,0,2,2,0,4,4,0,5,5,0,6,5,0,2,2,0
Tabasco,Total,187,168,19,188,157,31,172,145,27,168,135,33,164,133,31,170,133,37,155,131,24,108,90,18
Tabasco,10 a 14 años,8,8,0,10,6,4,6,5,1,8,5,3,5,2,3,6,5,1,6,4,2,3,1,2
Tabasco,15 a 19 años,11,8,3,26,18,8,25,20,5,22,10,12,18,12,6,17,6,11,15,9,6,11,6,5
Tabasco,20 a 24 años,34,30,4,31,25,6,30,25,5,20,15,5,25,23,2,29,26,3,28,23,5,12,9,3
Tabasco,25 a 29 años,25,24,1,27,21,6,28,24,4,16,13,3,16,14,2,24,19,5,23,18,5,9,9,0
Tabasco,30 a 34 años,16,15,1,19,19,0,6,6,0,26,23,3,15,13,2,25,18,7,17,16,1,21,18,3
Tabasco,35 a 39 años,29,25,4,15,12,3,19,15,4,18,16,2,22,16,6,18,15,3,19,17,2,12,10,2
Tabasco,40 a 44 años,12,10,2,12,12,0,9,6,3,16,15,1,16,14,2,10,9,1,8,8,0,13,10,3
Tabasco,45 a 49 años,10,8,2,13,10,3,14,11,3,13,11,2,10,9,1,11,8,3,12,11,1,5,5,0
Tabasco,50 a 54 años,8,7,1,12,11,1,6,6,0,4,3,1,9,7,2,3,3,0,3,3,0,7,7,0
Tabasco,55 a 59 años,6,5,1,4,4,0,9,9,0,6,6,0,10,8,2,7,7,0,9,8,1,2,2,0
Tabasco,60 años y más,28,28,0,17,17,0,20,18,2,18,17,1,18,15,3,20,17,3,15,14,1,13,13,0
Tabasco,No especificado,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamaulipas,Total,166,143,23,149,136,13,168,138,27,157,124,32,176,147,29,149,126,23,159,133,26,158,135,23
Tamaulipas,10 a 14 años,4,2,2,5,4,1,6,5,1,4,4,0,0,0,0,3,2,1,1,0,1,2,2,0
Tamaulipas,15 a 19 años,6,6,0,9,8,1,17,14,3,14,10,4,10,8,2,10,9,1,13,9,4,16,15,1
Tamaulipas,20 a 24 años,15,12,3,21,17,4,12,11,1,18,9,9,20,17,3,23,15,8,25,22,3,12,9,3
Tamaulipas,25 a 29 años,22,17,5,15,14,1,17,13,4,18,16,2,17,13,4,10,7,3,23,19,4,13,10,3
Tamaulipas,30 a 34 años,21,19,2,15,14,1,18,14,4,18,16,2,23,15,8,19,18,1,22,18,4,12,10,2
Tamaulipas,35 a 39 años,26,22,4,16,15,1,20,15,5,25,21,4,17,15,2,16,14,2,19,18,1,26,21,5
Tamaulipas,40 a 44 años,13,13,0,14,13,1,14,12,2,15,10,5,12,10,2,18,15,3,16,13,3,13,9,4
Tamaulipas,45 a 49 años,11,10,1,7,6,1,17,14,3,18,15,3,20,16,4,9,7,2,7,7,0,10,9,1
Tamaulipas,50 a 54 años,11,11,0,12,12,0,7,7,0,4,4,0,15,13,2,16,15,1,9,8,1,18,15,3
Tamaulipas,55 a 59 años,8,6,2,7,7,0,9,8,1,1,1,0,10,9,1,1,1,0,6,2,4,8,8,0
Tamaulipas,60 años y más,29,25,4,27,25,2,27,24,3,21,18,3,30,29,1,24,23,1,18,17,1,26,25,1
Tamaulipas,No especificado,0,0,0,1,1,0,4,1,0,1,0,0,2,2,0,0,0,0,0,0,0,2,2,0
Tlaxcala,Total,33,25,8,51,40,11,44,38,6,40,32,8,53,43,10,52,37,15,52,44,8,55,41,14
Tlaxcala,10 a 14 años,1,1,0,4,3,1,3,3,0,1,1,0,3,1,2,3,2,1,3,2,1,6,4,2
Tlaxcala,15 a 19 años,6,5,1,13,7,6,7,4,3,13,10,3,7,4,3,10,7,3,9,5,4,7,6,1
Tlaxcala,20 a 24 años,3,3,0,8,6,2,8,7,1,5,5,0,13,13,0,8,5,3,11,10,1,15,10,5
Tlaxcala,25 a 29 años,1,1,0,3,3,0,7,7,0,3,3,0,7,7,0,4,3,1,3,3,0,3,2,1
Tlaxcala,30 a 34 años,8,5,3,10,9,1,2,2,0,4,3,1,2,1,1,7,5,2,3,3,0,6,4,2
Tlaxcala,35 a 39 años,4,3,1,3,3,0,2,2,0,3,2,1,6,5,1,5,3,2,5,4,1,1,1,0
Tlaxcala,40 a 44 años,0,0,0,1,1,0,3,3,0,1,1,0,3,3,0,3,2,1,4,4,0,6,6,0
Tlaxcala,45 a 49 años,4,2,2,1,1,0,6,4,2,0,0,0,3,2,1,3,3,0,4,3,1,3,3,0
Tlaxcala,50 a 54 años,0,0,0,3,3,0,4,4,0,4,3,1,3,2,1,1,0,1,2,2,0,3,3,0
Tlaxcala,55 a 59 años,2,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,3,3,0,2,0,2
Tlaxcala,60 años y más,4,3,1,3,3,0,2,2,0,5,3,2,4,4,0,8,7,1,5,5,0,3,2,1
Tlaxcala,No especificado,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Veracruz de Ignacio de la Llave,Total,262,215,47,309,257,52,289,238,51,265,216,49,319,248,71,252,204,48,207,178,29,217,168,49
Veracruz de Ignacio de la Llave,10 a 14 años,9,7,2,8,4,4,16,9,7,5,2,3,18,8,10,14,10,4,4,4,0,8,6,2
Veracruz de Ignacio de la Llave,15 a 19 años,36,25,11,46,32,14,31,21,10,40,25,15,32,18,14,16,7,9,18,12,6,27,18,9
Veracruz de Ignacio de la Llave,20 a 24 años,33,25,8,38,31,7,41,31,10,29,23,6,44,29,15,32,28,4,32,26,6,31,23,8
Veracruz de Ignacio de la Llave,25 a 29 años,24,20,4,27,20,7,21,18,3,34,30,4,35,27,8,30,20,10,23,19,4,28,21,7
Veracruz de Ignacio de la Llave,30 a 34 años,25,21,4,30,26,4,29,22,7,27,23,4,19,15,4,29,21,8,19,18,1,13,12,1
Veracruz de Ignacio de la Llave,35 a 39 años,29,21,8,27,24,3,33,32,1,20,17,3,26,21,5,29,22,7,15,15,0,13,13,0
Veracruz de Ignacio de la Llave,40 a 44 años,21,21,0,29,24,5,26,22,4,23,21,2,35,32,3,25,22,3,16,13,3,16,11,5
Veracruz de Ignacio de la Llave,45 a 49 años,23,19,4,18,17,1,15,14,1,19,17,2,27,26,1,17,16,1,19,15,4,20,16,4
Veracruz de Ignacio de la Llave,50 a 54 años,12,11,1,18,16,2,15,13,2,17,16,1,23,18,5,11,11,0,16,13,3,14,10,4
Veracruz de Ignacio de la Llave,55 a 59 años,15,14,1,15,14,1,16,16,0,19,13,6,19,15,4,10,10,0,11,11,0,14,11,3
Veracruz de Ignacio de la Llave,60 años y más,34,30,4,51,47,4,44,38,6,31,28,3,40,38,2,38,36,2,34,32,2,33,27,6
Veracruz de Ignacio de la Llave,No especificado,1,1,0,2,2,0,2,2,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
Yucatán,Total,206,169,37,186,152,34,160,131,29,167,141,26,181,153,28,190,145,45,224,189,35,191,152,39
Yucatán,10 a 14 años,4,2,2,4,3,1,3,3,0,3,2,1,5,4,1,3,2,1,3,1,2,0,0,0
Yucatán,15 a 19 años,20,13,7,23,18,5,19,12,7,17,12,5,11,10,1,18,12,6,8,7,1,9,5,4
Yucatán,20 a 24 años,32,25,7,26,23,3,25,22,3,15,14,1,27,20,7,27,21,6,36,27,9,25,22,3
Yucatán,25 a 29 años,26,24,2,24,17,7,23,17,6,27,23,4,20,14,6,20,19,1,34,28,6,34,29,5
Yucatán,30 a 34 años,26,23,3,20,16,4,25,20,5,21,15,6,32,28,4,24,15,9,26,22,4,23,18,5
Yucatán,35 a 39 años,17,13,4,22,19,3,16,13,3,19,15,4,20,17,3,25,18,7,23,21,2,25,20,5
Yucatán,40 a 44 años,16,15,1,18,14,4,8,7,1,17,16,1,16,13,3,21,19,2,18,15,3,20,15,5
Yucatán,45 a 49 años,19,15,4,12,10,2,9,9,0,13,13,0,9,9,0,17,13,4,17,16,1,13,10,3
Yucatán,50 a 54 años,12,12,0,9,6,3,7,6,1,8,7,1,8,7,1,9,7,2,14,10,4,10,8,2
Yucatán,55 a 59 años,4,2,2,7,6,1,9,7,2,13,12,1,8,7,1,6,5,1,12,10,2,9,7,2
Yucatán,60 años y más,30,25,5,21,20,1,16,15,1,14,12,2,25,24,1,20,14,6,33,32,1,23,18,5
Yucatán,No especificado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zacatecas,Total,51,46,5,82,73,9,53,44,9,62,54,8,70,59,11,103,87,16,76,64,12,109,89,20
Zacatecas,10 a 14 años,1,1,0,1,0,1,4,2,2,3,2,1,2,2,0,1,0,1,3,2,1,3,3,0
Zacatecas,15 a 19 años,12,11,1,14,14,0,6,5,1,7,6,1,9,4,5,12,8,4,13,11,2,15,12,3
Zacatecas,20 a 24 años,4,3,1,15,12,3,9,8,1,7,6,1,12,10,2,18,15,3,7,7,0,25,18,7
Zacatecas,25 a 29 años,9,8,1,9,7,2,5,5,0,7,6,1,6,6,0,16,14,2,8,5,3,12,10,2
Zacatecas,30 a 34 años,5,4,1,9,8,1,11,9,2,10,8,2,12,11,1,9,7,2,5,3,2,7,5,2
Zacatecas,35 a 39 años,3,2,1,5,4,1,4,3,1,7,5,2,12,11,1,11,11,0,5,4,1,13,11,2
Zacatecas,40 a 44 años,4,4,0,4,4,0,2,2,0,4,4,0,6,4,2,8,8,0,6,6,0,6,4,2
Zacatecas,45 a 49 años,1,1,0,6,5,1,3,2,1,4,4,0,1,1,0,7,6,1,5,4,1,4,4,0
Zacatecas,50 a 54 años,4,4,0,4,4,0,3,2,1,6,6,0,3,3,0,6,5,1,7,7,0,6,5,1
